001,Author,lifetime, Title,Publication Year,Number of Pages,press,Questionnaires,Genre ID unclear,Extracted Book Name,delete duplicate
990013794710205171,"אבישר, יוסף ",1940- ,"זיכרון לבן /, יוסי אבישר.",1995,222,מ.א.ה. הפקות ,,,זיכרון לבן  ,
990009958910205171,"אבישר, יוסף ",1940- ,"הקינקל השביעי--וכל אדם לפי קורבנו נכנס  רומן /, יוסף אבישר.",1984,215,מ.א.ה. הפקות ,,,הקינקל השביעי--וכל אדם לפי קורבנו נכנס  רומן  ,
990037669800205171,"אבישר, יוסף ","1940- , ","התעלומה של הירושה הצרפתית /, יוסי אבישר.",2014,309,מ.א.ה. סרטים - הפקות TV - הפקה - הוצאה לאור ,,,התעלומה של הירושה הצרפתית  ,
990010884950205171,"אבישר, יעקב ",1921-2005 ,"אנשים מכוכב אחר /, יעקב אבישר.",1988,175,רשפים ,,,אנשים מכוכב אחר  ,
990012577860205171,"אבישר, יעקב ",1921-2005 ,"100 ק""מ מבגדד /, יעקב אבישר.",1993,199,רשפים ,,,"100 ק""מ מבגדד  ",
990013451150205171,"אבישר, יעקב ",1921-2005 ,"מסתרי ג'בליה /, יעקב אבישר.",1994,"182, 2   ",רשפים ,,,מסתרי ג''בליה  ,
990010918520205171,"אבן זהב, ארי ",1899-1971 ,"משפט שיילוק /, ארי אבן-זהב.",1946,61,עפר) ,,,משפט שיילוק  ,
990010918440205171,"אבן זהב, ארי ",1899-1971 ,"מגנזי - נשמה  רומן /, ארי אבן-זהב.",1925,"קעא, 1   ","מ""ל""ט (מ'קרא ל'שון ט'וב) ",,,מגנזי - נשמה  רומן  ,
990010916150205171,"אבן זהב, ארי ",1899-1971 ,"ימי-דוד  רומן היסטורי /, ארי אבן-זהב.",1929,3 כר'  ,מצפה ,,,ימי-דוד  רומן היסטורי  ,
990010916010205171,"אבן זהב, ארי ",1899-1971 ,"בסוד עניי הכתל /, ארי אבן-זהב.",1942,"רעא, 1   ",יבנה ,,,בסוד עניי הכתל  ,
990010918650205171,"אבן זהב, ארי ",1899-1971 ,"ששים שנה ושנה /, ארי אבן-זהב.",1947,"רכו, 1   ",יבנה ,,,ששים שנה ושנה  ,
990010916040205171,"אבן זהב, ארי ",1899-1971 ,"בראשית הסער /, ארי אבן-זהב.",1945,"רח, 2   ",יבנה ,,,בראשית הסער  ,
990010918610205171,"אבן זהב, ארי ",1899-1971 ,"שמים מאסו הבונים /, ארי אבן-זהב.",1941,קנה   ,יבנה ,,,שמים מאסו הבונים  ,
990010918540205171,"אבן זהב, ארי ",1899-1971 ,"קבר אחים /, ארי אבן-זהב.",1936,8,יבנה ,,x,קבר אחים  ,
990010918530205171,"אבן זהב, ארי ",1899-1971 ,"נשמות העצים /, ארי אבן-זהב.",1936,7,יבנה ,,x,נשמות העצים  ,
990010915940205171,"אבן זהב, ארי ",1899-1971 ,"אלה מסעי הזפתים /, ארי אבן-זהב.",1936,"רט , 1 ד'  ",יבנה ,,,אלה מסעי הזפתים  ,
990010918450205171,"אבן זהב, ארי ",1899-1971 ,"מה מליל /, ארי אבן-זהב.",1943,צח   ,יבנה ,,,מה מליל  ,
990010916080205171,"אבן זהב, ארי ",1899-1971 ,"דויד ובת-שבע  רומן /, ארי אבן-זהב.",1964,"שכז, 1   ",יבנה ,,,דויד ובת-שבע  רומן  ,
990010918600205171,"אבן זהב, ארי ",1899-1971 ,שיילוק  היהודי מויניציה.,1969,רצב   ,עם הספר ,,,שיילוק  היהודי מויניציה.',
990010916070205171,"אבן זהב, ארי ",1899-1971 ,"בתוככי ירושלים /, ארי אבן-זהב ; ציורי ירושלים - יעקב שטיינהרט.",1969,ר   ,עם הספר ,,,בתוככי ירושלים  ,
990010916030205171,"אבן זהב, ארי ",1899-1971 ,"בסוד עניי הכותל /, ארי אבן-זהב ; ציורי ירושלים - יעקב שטיינהרט.",1969,רמ   ,עם הספר ,,,בסוד עניי הכותל  ,
990010918790205171,"אבן חן, אהרן ",1908-1990 ,"שורים חרשו בהר /, ... אהרן אבן-חן.",1953,171,נ. טברסקי ,,,שורים חרשו בהר  ,
990010918770205171,"אבן חן, אהרן ",1908-1990 ,"יונים על הגג /, אהרן אבן-חן ; ציורים : זאב.",1965,"238, 2   ",נ. טברסקי ,,,יונים על הגג  ,
990038122920205171,"אבן חן, גליה ","1966- , ","עובדות מהדמיון  רומן /, גליה אבן חן ; ערכה: נורית זרחי.",2015,367,ספרא בית הוצאה לאור איגוד כללי של סופרים בישראל ,,,עובדות מהדמיון  רומן  ,
990010921160205171,"אבן נור, ישראל ",,"הפרשים דהרו כל הלילה /, ישראל אבן-נור ; רישומים : אבן פניכל.",1979,40,הקיבוץ המאוחד ,,x,הפרשים דהרו כל הלילה  ,
990031551000205171,"אבן פז, ליבית ",,"בסוף מעגל /, ליבית אבן פז ; עריכה - גלית אלדר.",2007,191,אור ראשון ,,,בסוף מעגל  ,
990036118440205171,"אבן, אודי ",,"דוד טוויזר אזרח למופת /, אודי אבן. ; עריכה - שחר בוגנים.",2013,158,גוונים ,,,דוד טוויזר אזרח למופת  ,
990010893340205171,"אבן, יצחק בן יהודה ",1861-1925 ,"הנער בנימין מטריענט  ספור מקורות ישראל ותולדתו במאה השש עשרה בעקבות א. דארי /, מאת יא""היצחק אבן.",1896,"22, 2 .",חיים ראהאטין ,,,הנער בנימין מטריענט  ספור מקורות ישראל ותולדתו במאה השש עשרה בעקבות א. דארי  ,
990021867240205171,"אבן, יצחק ",,"בגן עדן לא צריך שעון /, יצחק אבן.",2000,454,י' גולן ,,,בגן עדן לא צריך שעון  ,
990026919420205171,"אבנון, שי בצלאל ",,"פארק באקפנהיים /, שי בצלאל אבנון.",2007,366,אסטרולוג ,,,פארק באקפנהיים  ,
990039436370205171,"אבני-לוי, יוסי ","1962- , ","רוכלי האהבות /, יוסי אבני-לוי ; עורכת הספר: נועה מנהיים.",2016,382,"כנרת, זמורה-ביתן - מוציאים לאור ",,,רוכלי האהבות  ,
990040722800205171,"אבני כהן, עירית , ",,"לצידו /, עירית אבני כהן ; עורכת הספר: שרית רום ; ייעוץ לשוני: יובל ניסני.",2017,"237 , 3  לא ממוספרים  ",גוונים ,,,לצידו  ,
990010885330205171,"אבני, אלי ",,"כמו פתיחה, או, במבואות עיר /, אלי אבני.",1982,80,"אל""ף ",,x,"כמו פתיחה, או, במבואות עיר  ",
990033693420205171,"אבני, ב. ",,"שאגה /, ב. אבני ; עריכה לשונית - יהודית בהר""ב.",2010,334,מייזליק ספרים ,,,שאגה  ,
990010885350205171,"אבני, ג. ",,"שודדי העדרים /, מאת ג. אבני.",1939,2 כר' (חלק א-ב).,הבלש ,,,שודדי העדרים  ,
990010885340205171,"אבני, ג. ",,"הרצח בבית המשוגעים /, מאת ג. אבני.",1939,"31, 1 .",הבלש ,,,הרצח בבית המשוגעים  ,
990025109070205171,"אבני, יואב ",1969- ,שלושה דברים לאי בודד.,2006,"364, 1   ",זמורה-ביתן ,,,שלושה דברים לאי בודד.',
990033642530205171,"אבני, יואב ",1969- ,"הרצל אמר /, יואב אבני ; עורכת הספר - נועה מנהיים.",2011,381,זמורה-ביתן ,,,הרצל אמר  ,
990013775970205171,"אבני, יואב ",1969- ,"איזה מטומטמים האמריקאים /, יואב אבני.",1995,96,תמוז ,,,איזה מטומטמים האמריקאים  ,
990038870290205171,"אבני, יואב ","1969- , ","לחצות נהר פעמיים /, יואב אבני ; עורכת הספר: נועה מנהיים.",2016,365,"כנרת, זמורה-ביתן, דביר - מוציאים לאור ",,,לחצות נהר פעמיים  ,
990027858060205171,"אבני, שלמה בן ראובן ",,"פיונולה /, שלמה אבני.",2010,175,גוונים ,,,פיונולה  ,
990034579660205171,"אבני, שלמה בן ראובן ",,"תיק רפואי זירו /, שלמה אבני.",2012,225,גוונים ,,,תיק רפואי זירו  ,
990023211220205171,"אבני, שלמה בן ראובן ",,"בית בשעריים /, שלמה אבני.",2003,207,חלונות ,,,בית בשעריים  ,
990011108760205171,"אבני, שמעיה ",1923-2003 ,"אגדת המגדל וראשו בשמים  רומן /, ש' אבני.",1990,286,גולן ,,,אגדת המגדל וראשו בשמים  רומן  ,
990022612760205171,"אבני, שמעיה ",1923-2003 ,"מעל לתהומות העבר  סיפור /, ש. אבני.",2002,260,ש' אבני ,,,מעל לתהומות העבר  סיפור  ,
990027119650205171,"אבניאל, ג'ואי ",,"אחת, שתיים ומיליון  דרכו של האמן /, מאת ג'ואי אבניאל ; עריכה - אדמית פרא ; איורים - דני קרמן.",2010,242,כתב ווב ,,,"אחת, שתיים ומיליון  דרכו של האמן  ",
990025382870205171,"אבנר, דוב ",,"ארבעה טיפוסים קוריוזיים /, מאת דוב אבנר.",1962,107,קרן-אור ,,,ארבעה טיפוסים קוריוזיים  ,
990026775880205171,"אבנר, תמרה ",,"התנתקויות /, תמרה אבנר ; עורכת הספר - עלמה כהן-ורדי.",2009,303,זמורה ביתן ,,,התנתקויות  ,
990035957930205171,"אבנר, תמרה ",,"שקרים מהבוידעם /, תמרה אבנר ; עורכת - תמר עומר.",2013,222,מטר ,,,שקרים מהבוידעם  ,
990039587770205171,"אבנרי, אורי ","1923-2018 , ","הצד השני של המטבע /, אורי אבנרי.",1950,270,יוסף שמעוני ,,,הצד השני של המטבע  ,
990047943820205171,"אברבוך, מוטי ","1948- , ","קאטקי (חתלתולים) /, מוטי אווערבוך ; עריכת לשון: ויקי אס-שיפריס.",2018,238,מענטשעלע - הספרייה של מוטי אברבוך ,,,קאטקי (חתלתולים)  ,
990039433840205171,"אברבוך, מוטי ","1948- , ","כרמן מירנדה /, מוטי אברבוך.",2016,346,מענטשעלע הספרייה של מוטי אברבוך ,,,כרמן מירנדה  ,
990050302350205171,"אברהם, גבריאל , ",,"רצה למרחקים ארוכים /, גבריאל אברהם.",2018,  ,הוצאת המחבר גבריאל אברהם ,,,רצה למרחקים ארוכים  ,
990017931110205171,"אברהם, מלכה ",1960- ,"משפחת כהן - קומדיה יהודית /, מילכה אברהם.",1998,237,פטה מורגנה ,,,משפחת כהן - קומדיה יהודית  ,
990013053390205171,"אברהם, מלכה ",1960- ,"מסדר אבירי האקסטזה /, מילכה אברהם.",1993,176,פטה-מורגנה ,,,מסדר אבירי האקסטזה  ,
990013241920205171,"אברהם, מלכה ",1960- ,"מרגריטה /, מילכה אברהם.",1995,191,פטה-מורגנה ,,,מרגריטה  ,
990017646760205171,"אברהם, מלכה ",1960- ,"רומן בדמי-מפתח /, מילכה אברהם.",1997,190,פטה-מורגנה ,,,רומן בדמי-מפתח  ,
990040528010205171,"אברהם, רוחי , ",,"שוקו הפוך /, רוחי אברהם ; עריכה ספרותית ולשונית: ברכה הלר, יונית פרידלר.",2017,299,הוצאת יפה נוף ,,,שוקו הפוך  ,
990010917950205171,"אברהמי, ישראל ",1930-2013 ,"משחק השכונים /, איזי אברהמי.",1976,145,צ'ריקובר ,,,משחק השכונים  ,
990037535060205171,"אברהמי, כרמית רינצלר , ",,"קשת מנצח סרטן /, כרמית רינצלר.",2014,175,גוונים ,,,קשת מנצח סרטן  ,
990043969740205171,"אברהמי, כרמית רינצלר , ",,"חולות הקרב בתהום הנפש /, כרמית רינצלר אברהמי.",2018,"314 , 1 עמוד לא ממוספר  ",סטימצקי - הוצאה לאור ,,,חולות הקרב בתהום הנפש  ,
990010917960205171,"אברהמי, מיכאל ",,"הירדן יורד מדן  ספור אגדה /, מיכאל אברהמי ...",1980,"31, 1   ",סער ,,,הירדן יורד מדן  ספור אגדה  ,
990010721580205171,"אברהמי, משה ",,"שירת הברבור האירוטית  רומאן /, משה אברהמי.",1987,229,"אל""ף ",,,שירת הברבור האירוטית  רומאן  ,
990012370430205171,"אברהמי, משה ",,"מעדנה בת המלך /, משה אברהמי.",1992,"78, 2   ",י' גולן ,,,מעדנה בת המלך  ,
990013382570205171,"אברהמי, משה ",,"החיים מצדם השני  רומן /, משה אברהמי.",1994,104,י' גולן ,,,החיים מצדם השני  רומן  ,
990011402040205171,"אברהמי, משה ",,"התמרקות  רומאן סמי-היסטורי על העליה החמישית /, משה אברהמי.",1989,200,טרקלין ,,,התמרקות  רומאן סמי-היסטורי על העליה החמישית  ,
